date,open,high,low,close,volume,iso_week
2014-09-27,403.556,406.62298599999997,397.372009,399.519989,15029300,2014-39
2014-09-28,399.471008,401.016998,374.332001,377.181,23613300,2014-39
2014-09-29,376.928009,385.210999,372.23999,375.46701,32497700,2014-40
2014-09-30,376.088013,390.97699,373.442993,386.944,34707300,2014-40
2014-10-01,387.427002,391.378998,380.77999900000003,383.61499,26229400,2014-40
2014-10-02,383.988007,385.497009,372.946014,375.071991,21777700,2014-40
2014-10-03,375.181,377.695007,357.85900899999996,359.511993,30901200,2014-40
2014-10-04,359.891998,364.487,325.885986,328.865997,47236500,2014-40
2014-10-05,328.91598500000003,341.800995,289.29599,320.51001,83308096,2014-40
2014-10-06,320.389008,345.134003,302.559998,330.07901,79011800,2014-41
2014-10-07,330.58401499999997,339.247009,320.48199500000004,336.18701200000004,49199900,2014-41
2014-10-08,336.115997,354.364014,327.18798799999996,352.940002,54736300,2014-41
2014-10-09,352.74798599999997,382.72601299999997,347.68701200000004,365.02600099999995,83641104,2014-41
2014-10-10,364.68701200000004,375.066986,352.963013,361.56201200000004,43665700,2014-41
2014-10-11,361.362,367.19101,355.950989,362.299011,13345200,2014-41
2014-10-12,362.60598799999997,379.433014,356.14401200000003,378.549011,17552800,2014-41
2014-10-13,377.92099,397.22601299999997,368.897003,390.414001,35221400,2014-42
2014-10-14,391.691986,411.697998,391.324005,400.869995,38491500,2014-42
2014-10-15,400.954987,402.22699,388.76599100000004,394.77301,25267100,2014-42
2014-10-16,394.51800499999996,398.807007,373.070007,382.556,26990000,2014-42
2014-10-17,382.756012,385.477997,375.389008,383.757996,13600700,2014-42
2014-10-18,383.97601299999997,395.15799,378.971008,391.441986,11416800,2014-42
2014-10-19,391.253998,393.93899500000003,386.457001,389.54599,5914570,2014-42
2014-10-20,389.23098799999997,390.08401499999997,378.25201400000003,382.84500099999997,16419000,2014-43
2014-10-21,382.42099,392.64599599999997,380.83401499999997,386.475006,14188900,2014-43
2014-10-22,386.11801099999997,388.575989,382.24899300000004,383.15799,11641300,2014-43
2014-10-23,382.96200600000003,385.048004,356.446991,358.416992,26456900,2014-43
2014-10-24,358.591003,364.34500099999997,353.304993,358.34500099999997,15585700,2014-43
2014-10-25,358.610992,359.860992,342.87701400000003,347.27099599999997,18127500,2014-43
2014-10-26,347.487,359.221008,343.931,354.70401,11272500,2014-43
