date,iso_week,close,volume,close_point_relative_normalization,volume_point_relative_normalization
2016-01-04,2016-1,433.091003,38477500,0.0,0.0
2016-01-05,2016-1,431.959991,34522600,-0.0026114880987264666,-0.10278474433110263
2016-01-06,2016-1,429.1050110000001,34042500,-0.0092035899438897,-0.11526216620102658
2016-01-07,2016-1,458.048004,87562200,0.05762530467528548,1.2756727957897471
2016-01-08,2016-1,453.2300110000001,56993000,0.04650063811184757,0.48120330063023853
2016-01-09,2016-1,447.610992,32278000,0.03352641569420922,-0.16112013514391532
2016-01-10,2016-1,447.990997,35995900,0.03440384098674065,-0.06449483464362293
2016-01-11,2016-2,448.428009,40450000,0.0,0.0
2016-01-12,2016-2,435.690002,115607000,-0.02840591297676942,1.8580222496909764
2016-01-13,2016-2,432.371002,173888000,-0.03580732398006836,3.2988380716934484
2016-01-14,2016-2,430.306,43945500,-0.040412303951334994,0.0864153275648949
2016-01-15,2016-2,364.330994,153351008,-0.1875373823939709,2.791125043263288
2016-01-16,2016-2,387.536011,120352000,-0.13578990780658395,1.9753275648949322
2016-01-17,2016-2,382.299011,45319600,-0.14746848250507028,0.12038566131025963
2016-01-18,2016-3,387.167999,54403900,0.0,0.0
2016-01-19,2016-3,380.148987,46819800,-0.018129111956900257,-0.13940360893244785
2016-01-20,2016-3,420.2300110000001,121720000,0.08539448530197369,1.237339602491733
2016-01-21,2016-3,410.261993,68338000,0.05964850932837562,0.25612318234538334
2016-01-22,2016-3,382.492004,91546600,-0.012077431533797811,0.6827212754967935
2016-01-23,2016-3,387.490997,56247400,0.0008342579986833076,0.03388543836011748
2016-01-24,2016-3,402.971008,54824800,0.0408169297070442,0.007736577708583381
2016-01-25,2016-4,391.726013,59062400,0.0,0.0
2016-01-26,2016-4,392.153015,58147000,0.0010900527047714714,-0.01549886222029584
2016-01-27,2016-4,394.971985,47424400,0.008286332518846473,-0.19704583626808259
2016-01-28,2016-4,380.289001,59247900,-0.029196457780300777,0.0031407460584060853
2016-01-29,2016-4,379.47399900000005,86125296,-0.03127699870164091,0.45820853876577994
2016-01-30,2016-4,378.255005,30284400,-0.03438885229202293,-0.4872473858156797
2016-01-31,2016-4,368.766998,37894300,-0.058609880983318874,-0.35840229994040207
2016-02-01,2016-5,373.056,51656700,0.0,0.0
2016-02-02,2016-5,374.447998,40378700,0.0037313379224566123,-0.21832598675486437
2016-02-03,2016-5,369.949005,45933400,-0.008328494917653084,-0.11079492108477695
2016-02-04,2016-5,389.593994,69285504,0.04433112991079091,0.3412684898570757
2016-02-05,2016-5,386.549011,43825000,0.03616886204752112,-0.1516105364841347
2016-02-06,2016-5,376.522003,49249300,0.00929083837279121,-0.04660382873857605
2016-02-07,2016-5,376.619995,37076300,0.00955351207325461,-0.2822557383650136
2016-02-08,2016-6,373.446991,47671100,0.0,0.0
2016-02-09,2016-6,376.028992,55318500,0.006913969217119842,0.16042004484897565
2016-02-10,2016-6,381.648987,85130896,0.02196294573973412,0.7857967615599388
2016-02-11,2016-6,379.653992,74375600,0.016620835485591012,0.5601821648755745
2016-02-12,2016-6,384.26300000000003,67042800,0.028962635288712235,0.40636150623753164
2016-02-13,2016-6,391.859985,61911700,0.049305509064872854,0.2987260625410364
2016-02-14,2016-6,407.230011,74469800,0.09046269166485255,0.5621582048662608
2016-02-15,2016-7,400.184998,74070496,0.0,0.0
2016-02-16,2016-7,407.488007,73093104,0.018249082390639604,-0.01319542939202134
2016-02-17,2016-7,416.321991,83193600,0.040323832928889525,0.12316785349999537
2016-02-18,2016-7,422.372986,76752600,0.055444327275856686,0.03621015309523501
2016-02-19,2016-7,420.785004,55711300,0.051476207511407024,-0.24786111868347693
2016-02-20,2016-7,437.164001,93992096,0.09240477075554931,0.2689545915825917
2016-02-21,2016-7,438.798004,89820704,0.0964878898333914,0.21263807926978107
2016-02-22,2016-8,437.747986,85385200,0.0,0.0
2016-02-23,2016-8,420.735992,85244896,-0.0388625294554753,-0.0016431887493383313
2016-02-24,2016-8,424.954987,67743696,-0.02922457534733236,-0.20661079437654306
2016-02-25,2016-8,424.544006,70798000,-0.030163428324716524,-0.17083991136637267
2016-02-26,2016-8,432.152008,61486000,-0.01278356081345855,-0.2798986241175285
2016-02-27,2016-8,432.519012,41893600,-0.01194516974887927,-0.5093575935876475
2016-02-28,2016-8,433.503998,53033400,-0.00969504860269077,-0.3788923607369895
2016-02-29,2016-9,437.696991,60694700,0.0,0.0
2016-03-01,2016-9,435.122986,74895800,-0.005880792084312025,0.23397594847655556
2016-03-02,2016-9,423.989014,74955296,-0.03131841726551876,0.23495619881142837
2016-03-03,2016-9,421.651001,100484000,-0.03666004183245575,0.6555646539154161
2016-03-04,2016-9,410.938995,90856096,-0.06113360738182472,0.49693623990233093
2016-03-05,2016-9,400.570007,135384992,-0.08482348465584966,1.2305900185683427
2016-03-06,2016-9,407.707001,91212496,-0.06851769744060232,0.5028082517913426
2016-03-07,2016-10,414.321014,85762400,0.0,0.0
2016-03-08,2016-10,413.971985,70311696,-0.0008424120143709635,-0.180157085156199
2016-03-09,2016-10,414.859985,70012304,0.0013008536419540917,-0.18364803223790382
2016-03-10,2016-10,417.131012,81022896,0.006782175909619603,-0.05526319226141063
2016-03-11,2016-10,421.690002,73969696,0.01778569696201804,-0.13750436088542295
2016-03-12,2016-10,411.623993,92712896,-0.0065094960401888,0.08104362751042404
2016-03-13,2016-10,414.065002,74322800,-0.0006179073504584132,-0.13338712536029773
2016-03-14,2016-11,416.437988,95259400,0.0,0.0
2016-03-15,2016-11,416.829987,66781700,0.0009413142203540392,-0.298948975114267
2016-03-16,2016-11,417.010986,65185800,0.0013759503611856516,-0.3157021774229105
